PurchaseAmountUSD,NumberofEngagements,SubscriptionDuration,
9.54,47,731,
35.97,213,92,
0.00,260,29059,
0.00,8,28784,
120.33,21,28774,
0.00,75,368,
199.00,5,28794,
0.00,21,92,
0.00,44,28774,
0.00,39,92,
0.00,17,92,
35.97,30,95,
11.95,429,455,
0.00,86,181,
79.00,13,277,
0.00,53,229,
0.00,32,1099,
0.00,91,365,
35.97,15,275,
189.00,129,28805,
0.00,4,365,
173.93,56,365,
35.97,39,183,
0.00,3,183,
0.00,1,181,
0.00,6,365,
0.00,121,365,
79.00,361,184,
0.00,57,92,
0.00,214,29137,
0.00,31,97,
0.00,34,235,
199.00,11,28766,
199.00,28,28804,
42.66,90,95,
100.19,218,366,
0.00,12,92,
35.97,74,90,
0.00,20,92,
199.00,60,28780,
0.00,30,365,
0.00,7,92,
0.00,243,108,
0.00,169,295,
0.00,293,240,
0.00,386,368,
0.00,87,91,
0.00,150,28952,
0.00,227,288,
0.00,66,317,
0.00,17,92,
0.00,63,183,
0.00,69,91,
0.00,57,274,
0.00,40,156,
152.39,137,731,
0.00,119,140,
0.00,16,92,
0.00,57,282,
0.00,337,184,
71.94,136,187,
0.00,158,410,
0.00,7,276,
0.00,32,92,
203.93,4,28783,
0.00,639,70,
0.00,118,182,
35.97,28,224,
0.00,20,28768,
0.00,13,368,
0.00,274,183,
0.00,35,28810,
38.98,50,90,
38.94,13,182,
0.00,10,89,
0.00,25,296,
179.10,26,28782,
0.00,150,91,
0.00,187,132,
39.00,18,91,
0.00,53,282,
0.00,198,302,
0.00,44,92,
0.00,146,281,
0.00,225,365,
199.00,106,28794,
0.00,37,274,
0.00,4,368,
35.97,39,375,
0.00,254,29134,
0.00,20,182,
0.00,346,183,
0.00,55,365,
0.00,55,365,
0.00,152,241,
0.00,10,92,
0.00,36,288,
38.13,16,95,
0.00,3,92,
0.00,32,316,
56.08,86,202,
0.00,9,91,
42.66,124,91,
0.00,125,28765,
35.97,212,283,
0.00,25,28780,
0.00,117,91,
0.00,107,295,
0.00,17,330,
0.00,12,92,
189.00,105,29258,
0.00,28,182,
13.65,5,122,
35.97,391,233,
0.00,78,184,
10.45,104,731,
0.00,46,351,
97.36,98,213,
112.17,1,366,
0.00,65,365,
39.00,32,95,
0.00,24,92,
0.00,12,92,
0.00,29,92,
0.00,76,92,
0.00,25,184,
32.37,1,90,
0.00,557,368,
0.00,42,368,
13.91,92,365,
0.00,163,366,
0.00,16,28778,
0.00,102,378,
0.00,18,324,
0.00,19,28776,
0.00,27,295,
0.00,75,547,
0.00,1,43,
0.00,596,29237,
61.75,162,190,
0.00,21,295,
38.34,30,92,
22.83,1,366,
21.44,58,101,
0.00,113,90,
0.00,9,183,
0.00,9,181,
0.00,34,382,
208.38,10,28767,
0.00,23,365,
120.33,489,28776,
9.54,382,821,
0.00,38,365,
65.94,201,277,
38.85,43,92,
79.00,19,277,
0.00,1,368,
35.97,56,92,
162.99,34,28774,
0.00,21,92,
79.00,109,188,
97.36,126,144,
64.90,32,182,
0.00,381,365,
35.97,34,96,
209.75,1,28795,
0.00,96,28772,
189.00,56,28805,
13.65,293,521,
39.00,70,95,
0.00,27,185,
9.37,310,731,
0.00,27,92,
0.00,15,182,
0.00,65,183,
0.00,147,32,
0.00,160,457,
119.00,242,547,
0.00,1,92,
39.00,46,95,
0.00,14,366,
79.00,21,277,
0.00,75,365,
35.97,85,458,
37.66,32,91,
0.00,231,182,
0.00,89,365,
208.95,55,28804,
199.00,42,28816,
0.00,36,338,
0.00,26,182,
35.97,80,92,
0.00,125,184,
0.00,126,183,
0.00,34,288,
143.76,36,730,
216.91,23,28779,
0.00,29,365,
189.00,10,28805,
0.00,71,181,
39.00,33,95,
9.46,66,731,
0.00,112,184,
38.13,50,90,
0.00,635,459,
21.44,297,195,
0.00,38,365,
0.00,31,181,
0.00,56,182,
114.09,49,183,
0.00,112,28842,
51.46,483,305,
0.00,12,303,
0.00,1,365,
86.42,53,92,
68.15,86,185,
42.66,30,92,
0.00,11,241,
79.00,371,347,
35.97,59,91,
70.56,85,366,
0.00,94,91,
0.00,96,365,
0.00,57,370,
51.46,17,183,
0.00,132,92,
199.00,29,28792,
45.94,55,99,
89.00,133,731,
0.00,42,37,
48.31,40,92,
0.00,43,368,
0.00,77,303,
0.00,10,182,
51.46,40,274,
124.50,21,731,
0.00,70,92,
0.00,93,295,
189.00,22,28805,
199.00,78,28795,
0.00,36,365,
0.00,519,366,
0.00,89,567,
35.97,76,506,
0.00,26,65,
199.00,34,28775,
0.00,42,323,
0.00,32,181,
38.34,55,92,
0.00,39,205,
35.97,76,98,
0.00,2,365,
0.00,143,95,
0.00,156,29076,
26.80,69,95,
79.00,130,277,
150.96,41,184,
0.00,22,183,
0.00,37,365,
54.15,27,183,
0.00,47,28788,
79.00,21,366,
30.88,32,97,
9.54,36,731,
250.80,226,28950,
35.97,16,92,
0.00,684,458,
0.00,23,183,
